tree,tree,tree,tree,tree,tree,tree,tree,tree,tree,tree
tree,tree,tree,flagstone,flagstone,flagstone,flagstone,flagstone,tree,tree,tree
tree,tree,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,tree,tree
tree,flagstone,flagstone,flagstone,flagstone,table,flagstone,flagstone,flagstone,flagstone,tree
tree,flagstone,flagstone,table,flagstone,flagstone,flagstone,table,flagstone,flagstone,tree
tree,flagstone,flagstone,flagstone,flagstone,brazier,flagstone,flagstone,flagstone,flagstone,tree
tree,flagstone,flagstone,table,flagstone,flagstone,flagstone,table,flagstone,flagstone,tree
tree,flagstone,flagstone,flagstone,flagstone,table,flagstone,flagstone,flagstone,flagstone,tree
tree,tree,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,tree,tree
tree,tree,tree,flagstone,flagstone,flagstone,flagstone,flagstone,tree,tree,tree
tree,tree,tree,tree,flagstone,door,flagstone,tree,tree,tree,tree
tree,tree,tree,tree,tree,tree,tree,tree,tree,tree,tree
