wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull
wall_hull,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,wall_hull
wall_hull,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,hearth,flagstone,flagstone,flagstone,flagstone,flagstone,hearth,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,table,table,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,boardwalk,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,wall_hull
wall_hull,wall_hull,wall_hull,door,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,door,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull
wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,flagstone,flagstone,barrel,flagstone,flagstone,door,flagstone,flagstone,bed,flagstone,flagstone,door,flagstone,flagstone,crate,crate,flagstone,wall_hull
wall_hull,flagstone,flagstone,barrel,flagstone,flagstone,wall_hull,flagstone,flagstone,bed,flagstone,flagstone,wall_hull,flagstone,flagstone,crate,crate,flagstone,wall_hull
wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull,flagstone,flagstone,flagstone,flagstone,flagstone,wall_hull
wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull,wall_hull
