wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber
wall_timber,wall_timber,wall_timber,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,wall_timber,wall_timber,wall_timber
wall_timber,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,wall_hull
wall_timber,rug,rug,rug,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,rug,rug,rug,wall_hull
wall_timber,rug,rug,flagstone,flagstone,flagstone,table,table,table,table,table,flagstone,flagstone,flagstone,rug,rug,wall_hull
wall_timber,rug,rug,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,rug,rug,wall_hull
wall_timber,rug,rug,flagstone,flagstone,flagstone,flagstone,flagstone,hearth,flagstone,flagstone,flagstone,flagstone,flagstone,rug,rug,wall_hull
wall_timber,rug,rug,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,rug,rug,wall_hull
wall_timber,rug,rug,flagstone,flagstone,flagstone,table,table,table,table,table,flagstone,flagstone,flagstone,rug,rug,wall_hull
wall_timber,rug,rug,rug,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,flagstone,rug,rug,rug,wall_hull
wall_timber,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,rug,wall_hull
wall_timber,wall_timber,wall_timber,rug,rug,rug,rug,rug,door,rug,rug,rug,rug,rug,wall_timber,wall_timber,wall_timber
wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber,wall_timber
